{x=34,m=306,a=2103,s=477}
{x=1784,m=1857,a=646,s=174}
{x=236,m=40,a=223,s=66}
{x=472,m=856,a=70,s=1118}
{x=539,m=2916,a=229,s=114}
{x=3174,m=21,a=1562,s=2000}
{x=219,m=2619,a=909,s=2692}
{x=2327,m=638,a=1625,s=346}
{x=3711,m=538,a=64,s=493}
{x=111,m=750,a=256,s=2590}
{x=3446,m=3291,a=2730,s=778}
{x=205,m=276,a=1164,s=1432}
{x=1182,m=1635,a=3304,s=1133}
{x=507,m=1151,a=1496,s=665}
{x=48,m=375,a=496,s=21}
{x=559,m=758,a=2404,s=760}
{x=2544,m=321,a=1318,s=364}
{x=278,m=150,a=185,s=1433}
{x=716,m=3065,a=62,s=2117}
{x=1080,m=176,a=2916,s=212}
{x=1565,m=2272,a=921,s=684}
{x=997,m=934,a=150,s=858}
{x=1264,m=278,a=197,s=358}
{x=1280,m=863,a=2248,s=178}
{x=1849,m=276,a=2351,s=2785}
{x=310,m=2727,a=606,s=1399}
{x=399,m=905,a=246,s=2630}
{x=1765,m=123,a=225,s=229}
{x=234,m=1911,a=2495,s=132}
{x=3388,m=921,a=1191,s=3359}
{x=273,m=617,a=3514,s=1901}
{x=50,m=309,a=227,s=299}
{x=1062,m=2234,a=411,s=2377}
{x=1651,m=2915,a=197,s=677}
{x=1158,m=2173,a=516,s=1837}
{x=75,m=32,a=364,s=1399}
{x=2,m=1398,a=658,s=2425}
{x=1833,m=50,a=364,s=2987}
{x=1555,m=1835,a=184,s=15}
{x=1468,m=482,a=300,s=144}
{x=575,m=989,a=221,s=2763}
{x=555,m=116,a=671,s=788}
{x=479,m=92,a=1142,s=69}
{x=834,m=479,a=137,s=3077}
{x=174,m=2980,a=3386,s=90}
{x=366,m=1017,a=152,s=127}
{x=562,m=2827,a=1016,s=5}
{x=144,m=1447,a=1792,s=2797}
{x=81,m=1325,a=41,s=1894}
{x=1802,m=106,a=952,s=552}
{x=170,m=68,a=942,s=3620}
{x=314,m=1928,a=1213,s=108}
{x=1118,m=969,a=133,s=2582}
{x=938,m=479,a=21,s=1568}
{x=423,m=379,a=403,s=1052}
{x=1694,m=200,a=3005,s=1189}
{x=1347,m=1065,a=926,s=120}
{x=1407,m=300,a=825,s=821}
{x=419,m=37,a=216,s=208}
{x=442,m=3007,a=592,s=118}
{x=1504,m=184,a=1074,s=1216}
{x=1159,m=1319,a=108,s=648}
{x=346,m=1937,a=1936,s=3359}
{x=65,m=147,a=640,s=2266}
{x=22,m=759,a=504,s=1315}
{x=1105,m=2875,a=1046,s=573}
{x=442,m=298,a=633,s=894}
{x=1033,m=2062,a=892,s=52}
{x=449,m=173,a=827,s=3201}
{x=785,m=2003,a=1060,s=524}
{x=3464,m=1367,a=564,s=399}
{x=378,m=372,a=1223,s=113}
{x=597,m=108,a=1408,s=584}
{x=271,m=3234,a=1386,s=2982}
{x=997,m=2360,a=1275,s=1330}
{x=2596,m=1318,a=3419,s=1330}
{x=25,m=1077,a=498,s=1823}
{x=1337,m=16,a=448,s=60}
{x=361,m=411,a=220,s=1606}
{x=570,m=1950,a=15,s=828}
{x=467,m=47,a=536,s=881}
{x=197,m=528,a=2547,s=421}
{x=587,m=173,a=667,s=886}
{x=600,m=1522,a=181,s=14}
{x=2106,m=564,a=110,s=1853}
{x=8,m=1373,a=987,s=513}
